time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-01T17:04:20.460Z,38.7949982,-122.7563324,3.25,1.18,md,18,87,0.006208,0.03,nc,nc73802096,2022-11-01T18:46:09.822Z,"2km N of The Geysers, CA",earthquake,0.3,0.64,0.03,4,automatic,nc,nc
2022-10-30T20:15:43.030Z,38.795166,-122.7624969,0.65,1.66,md,27,63,0.005869,0.05,nc,nc73801356,2022-10-30T21:10:11.092Z,"2km NNW of The Geysers, CA",earthquake,0.21,0.33,0.09,7,automatic,nc,nc
2022-10-29T18:47:51.670Z,38.7888336,-122.7340012,1.74,1.1,md,15,108,0.00598,0.02,nc,nc73800866,2022-10-29T20:37:15.272Z,"2km ENE of The Geysers, CA",earthquake,0.4,0.5,0.09,4,automatic,nc,nc
2022-10-25T07:15:22.760Z,38.7948341,-122.7633362,0.64,1.14,md,18,73,0.006439,0.04,nc,nc73798966,2022-10-25T09:51:14.396Z,"2km NNW of The Geysers, CA",earthquake,0.23,0.46,0.04,4,automatic,nc,nc
2022-10-21T06:22:03.090Z,38.7948341,-122.7354965,0.8,1.1,md,17,101,0.01979,0.03,nc,nc73797211,2022-10-21T09:26:17.062Z,"3km NE of The Geysers, CA",earthquake,0.25,0.47,0.11,6,automatic,nc,nc
2022-10-19T16:33:18.770Z,38.7868333,-122.7676667,2.08,1.97,md,54,47,0.01511,0.06,nc,nc73795791,2022-10-24T18:31:12.686Z,"1km NW of The Geysers, CA",earthquake,0.15,0.23,0.075,26,reviewed,nc,nc
2022-10-19T02:12:30.030Z,38.7871667,-122.7688333,0.73,1.32,md,40,81,0.01521,0.06,nc,nc73795476,2022-10-22T01:34:14.196Z,"2km NW of The Geysers, CA",earthquake,0.16,0.26,0.124,10,reviewed,nc,nc
2022-10-18T11:14:34.270Z,38.788166,-122.7346649,1.09,1.17,md,21,87,0.005178,0.04,nc,nc73795226,2022-10-18T12:26:14.782Z,"2km ENE of The Geysers, CA",earthquake,0.23,0.55,0.05,5,automatic,nc,nc
2022-10-17T21:56:47.280Z,38.7928333,-122.7543333,0.76,2.55,md,59,44,0.008843,0.04,nc,nc73795046,2022-10-25T03:15:23.040Z,"2km N of The Geysers, CA",earthquake,0.11,0.18,0.117,31,reviewed,nc,nc
2022-10-17T08:45:11.280Z,38.7866667,-122.7665,2.49,1.34,md,43,57,0.01491,0.04,nc,nc73794801,2022-10-21T06:01:12.797Z,"1km NW of The Geysers, CA",earthquake,0.17,0.31,0.091,12,reviewed,nc,nc
