time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-29T21:42:28.830Z,46.572,152.2343,71.648,4.5,mb,47,137,6.52,0.79,us,us7000il7y,2022-10-30T00:14:18.040Z,"Kuril Islands",earthquake,12,7.992,0.088,38,reviewed,us,us
2022-10-28T11:26:42.228Z,55.5005,158.3825,322.293,4.3,mb,55,71,2.487,0.4,us,us7000ikwt,2022-10-28T11:46:40.040Z,"51 km SSW of Esso, Russia",earthquake,11.02,9.457,0.047,127,reviewed,us,us
2022-10-27T18:01:12.004Z,44.4569,146.6541,138.501,4.7,mb,97,122,2.936,0.82,us,us7000ikrv,2022-11-01T18:19:23.040Z,"",earthquake,9.03,5.356,0.038,210,reviewed,us,us
2022-10-27T10:10:51.522Z,46.628,152.6513,50.185,5.2,mww,93,124,6.799,1.06,us,us7000ikmy,2022-10-27T10:52:30.040Z,"Kuril Islands",earthquake,8.07,6.372,0.093,11,reviewed,us,us
2022-10-27T02:26:49.676Z,55.8383,160.9768,149.454,4.5,mb,113,92,3.131,0.43,us,us7000ikl2,2022-11-02T01:18:28.040Z,"54 km S of Klyuchi, Russia",earthquake,9.19,5.55,0.064,72,reviewed,us,us
2022-10-24T13:50:32.223Z,47.6652,145.6538,446.855,4,mb,53,80,2.092,0.45,us,us6000iw3d,2022-10-30T14:23:23.040Z,"218 km E of Dolinsk, Russia",earthquake,11.01,8.557,0.097,29,reviewed,us,us
2022-10-23T00:24:27.000Z,54.7325,161.4215,54.091,4.4,mb,23,125,2.372,0.82,us,us6000ivug,2022-10-23T00:47:49.040Z,"149 km SE of Atlasovo, Russia",earthquake,11.37,10.301,0.134,16,reviewed,us,us
2022-10-22T12:05:56.323Z,46.4381,149.8789,10.6,5,mb,77,71,4.925,0.57,us,us6000ivre,2022-10-22T13:38:09.535Z,"205 km NE of Kuril’sk, Russia",earthquake,8.54,3.622,0.03,359,reviewed,us,us
2022-10-22T09:40:37.892Z,53.427,161.6761,10,4.9,mb,90,105,1.864,0.61,us,us6000ivqu,2022-10-22T10:09:48.040Z,"207 km E of Petropavlovsk-Kamchatsky, Russia",earthquake,7.99,1.861,0.038,213,reviewed,us,us
2022-10-21T19:38:35.642Z,44.5315,147.0322,144.055,4.4,mb,38,121,3.212,0.55,us,us6000ivlp,2022-10-21T19:59:48.040Z,"85 km NNE of Shikotan, Russia",earthquake,11.73,2.615,0.078,48,reviewed,us,us
2022-10-20T02:18:11.965Z,49.1774,158.4282,10,4.8,mb,71,85,3.854,0.52,us,us6000iv1j,2022-10-25T21:07:32.040Z,"234 km SE of Severo-Kuril’sk, Russia",earthquake,8.78,1.82,0.045,154,reviewed,us,us
2022-10-18T22:20:39.128Z,52.5675,160.3574,37.238,4.5,mb,55,134,1.133,0.74,us,us6000iumv,2022-10-26T03:50:56.040Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,11.39,7.268,0.08,46,reviewed,us,us
