time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-16T00:55:48.996Z,54.8861,162.9698,10,4.4,mb,43,164,3.162,0.5,us,us6000iu1r,2022-10-16T04:12:22.040Z,"152 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,12.87,1.945,0.092,34,reviewed,us,us
2022-10-15T02:59:59.015Z,45.3107,151.1446,10,4.7,mb,32,183,6.055,0.76,us,us6000ituw,2022-10-15T03:26:13.040Z,"256 km E of Kuril’sk, Russia",earthquake,10.92,1.938,0.079,50,reviewed,us,us
2022-10-13T06:20:41.998Z,44.7902,150.2924,10,5,mb,67,136,5.553,1.07,us,us6000it8a,2022-10-13T06:42:07.040Z,"196 km ESE of Kuril’sk, Russia",earthquake,9.8,1.89,0.03,357,reviewed,us,us
2022-10-12T19:58:31.508Z,45.4045,147.9936,170.278,4.1,mb,16,136,4.056,0.95,us,us6000iuju,2022-10-18T20:10:54.040Z,"21 km NNE of Kuril’sk, Russia",earthquake,14.88,8.773,0.261,5,reviewed,us,us
2022-10-12T09:10:38.719Z,49.0467,157.9626,10,5,mww,179,99,4.006,0.54,us,us6000isyk,2022-10-27T04:19:10.040Z,"224 km SE of Severo-Kuril’sk, Russia",earthquake,8.34,1.84,0.086,13,reviewed,us,us
2022-10-11T18:57:36.256Z,43.4516,144.5013,134.703,4.4,mb,47,127,1.535,0.63,us,us6000issy,2022-10-11T21:19:10.040Z,"52 km SE of Motomachi, Japan",earthquake,9.53,7.101,0.096,31,reviewed,us,us
2022-10-10T23:06:53.267Z,47.401,152.2845,131.83,4.6,mb,71,83,6.508,0.72,us,us6000isle,2022-10-15T03:42:10.040Z,"Kuril Islands",earthquake,10.93,6.39,0.063,75,reviewed,us,us
2022-10-09T19:37:31.411Z,45.6696,151.4182,43.913,4.5,mb,46,186,6.135,0.86,us,us6000isbz,2022-10-12T15:50:51.040Z,"281 km E of Kuril’sk, Russia",earthquake,10.57,8.156,0.094,35,reviewed,us,us
2022-10-09T01:53:12.283Z,53.1498,161.6477,30.526,4.5,mb,13,138,1.813,1.17,us,us6000itlc,2022-10-14T21:31:11.040Z,"202 km E of Petropavlovsk-Kamchatsky, Russia",earthquake,12.21,7.612,0.242,6,reviewed,us,us
2022-10-03T20:13:34.923Z,51.7026,152.5432,422.07,4,mb,80,129,3.457,0.81,us,us6000iqja,2022-10-10T16:58:37.040Z,"275 km W of Ozernovskiy, Russia",earthquake,11.97,8.195,0.067,61,reviewed,us,us
2022-09-30T19:39:39.814Z,51.781,160.2577,10,4.5,mb,36,131,1.587,1.23,us,us6000irij,2022-10-27T13:58:55.040Z,"179 km SE of Vilyuchinsk, Russia",earthquake,10.96,1.927,0.132,21,reviewed,us,us
2022-09-28T23:09:33.117Z,55.5488,160.5744,148.033,4.5,mb,107,87,2.771,0.54,us,us6000ip3m,2022-10-27T05:59:02.040Z,"59 km E of Atlasovo, Russia",earthquake,6.21,6.348,0.061,80,reviewed,us,us
2022-09-27T13:36:52.614Z,44.4992,150.8535,10,4.6,mb,18,174,5.94,0.32,us,us6000inmm,2022-09-27T14:43:25.040Z,"248 km ESE of Kuril’sk, Russia",earthquake,11.21,1.918,0.181,11,reviewed,us,us
2022-09-26T21:32:43.307Z,50.0063,153.5757,203.937,4.2,mb,50,159,4.033,0.49,us,us6000ipqh,2022-10-06T04:03:56.040Z,"196 km WSW of Severo-Kuril’sk, Russia",earthquake,6.85,9.505,0.08,43,reviewed,us,us
2022-09-26T18:02:21.269Z,55.6688,160.0073,184.825,4.8,mb,110,75,2.768,0.72,us,us6000inf9,2022-10-27T13:15:54.040Z,"23 km ENE of Atlasovo, Russia",earthquake,4.54,5.104,0.027,422,reviewed,us,us
2022-09-23T07:08:59.001Z,49.7432,155.7637,59.477,4.5,mb,41,134,3.581,0.47,us,us7000iadj,2022-10-27T06:38:33.040Z,"106 km SSW of Severo-Kuril’sk, Russia",earthquake,11.24,8.669,0.093,34,reviewed,us,us
2022-09-21T09:22:21.193Z,54.879,159.8139,130.722,4.3,mb,48,102,1.983,0.5,us,us7000i9us,2022-10-02T06:17:40.040Z,"79 km ENE of Mil’kovo, Russia",earthquake,14.29,10.561,0.083,41,reviewed,us,us
2022-09-20T21:44:40.137Z,51.133,157.8149,86.565,4.5,mb,43,137,1.962,0.38,us,us7000i9n0,2022-09-28T04:05:39.040Z,"100 km ESE of Ozernovskiy, Russia",earthquake,11.44,7.01,0.089,37,reviewed,us,us
2022-09-17T20:18:01.170Z,55.8002,162.1713,55.082,4.4,mb,74,71,3.46,0.39,us,us7000i8wt,2022-10-06T23:31:08.040Z,"51 km SSW of Ust’-Kamchatsk Staryy, Russia",earthquake,8.29,6.67,0.075,52,reviewed,us,us
2022-09-15T15:53:49.911Z,52.1069,159.1186,64.129,4.4,mb,47,135,0.962,0.61,us,us7000i8bg,2022-10-12T21:56:02.040Z,"103 km SSE of Vilyuchinsk, Russia",earthquake,10.75,7.416,0.094,37,reviewed,us,us
2022-09-15T11:17:22.882Z,56.4368,162.0907,9.814,4.1,mb,39,132,3.959,1.13,us,us7000i88w,2022-10-26T14:02:17.040Z,"33 km NW of Ust’-Kamchatsk Staryy, Russia",earthquake,9.35,3.625,0.112,22,reviewed,us,us
2022-09-14T10:36:10.811Z,48.3174,149.5733,350.215,4.2,mb,47,126,4.802,0.45,us,us7000i7y8,2022-10-18T19:16:32.475Z,"northwest of the Kuril Islands",earthquake,11.02,8.906,0.096,30,reviewed,us,us
2022-09-13T09:20:56.344Z,54.9191,157.8265,320.45,4,mb,86,69,1.816,0.44,us,us7000i7l4,2022-10-12T15:31:47.040Z,"56 km WNW of Mil’kovo, Russia",earthquake,11.07,7.063,0.064,54,reviewed,us,us
2022-09-12T13:27:21.297Z,51.8763,158.6489,80.408,4.3,mb,15,117,1.149,0.35,us,us7000i9hg,2022-09-20T19:02:53.040Z,"118 km S of Vilyuchinsk, Russia",earthquake,7.49,7.896,0.216,6,reviewed,us,us
2022-09-11T21:24:15.351Z,51.5401,157.34,130.821,4.8,mb,53,111,1.586,0.46,us,us7000i9al,2022-10-19T21:43:32.040Z,"58 km E of Ozernovskiy, Russia",earthquake,7.06,5.482,0.118,22,reviewed,us,us
2022-09-10T15:54:31.031Z,47.9007,144.5233,474.455,4.5,mb,213,55,1.523,0.63,us,us6000iiqh,2022-09-14T17:00:47.040Z,"144 km ENE of Dolinsk, Russia",earthquake,9.35,5.804,0.028,389,reviewed,us,us
2022-09-08T22:15:31.988Z,47.4273,152.243,148.085,4.5,mb,34,166,6.48,0.45,us,us6000iiat,2022-09-19T22:45:53.040Z,"",earthquake,13.27,10.122,0.136,16,reviewed,us,us
2022-09-07T04:51:44.365Z,46.0834,152.7903,10,4.2,mb,15,135,7.719,0.37,us,us7000i81x,2022-09-16T03:16:43.040Z,"Kuril Islands",earthquake,10.93,1.93,0.237,7,reviewed,us,us
2022-09-04T06:10:08.865Z,44.2271,149.0591,35,4.5,mb,87,134,4.653,0.44,us,us7000i52g,2022-10-14T07:00:33.040Z,"145 km SE of Kuril’sk, Russia",earthquake,9.43,1.905,0.061,78,reviewed,us,us
2022-09-03T05:20:37.618Z,48.9059,154.8828,64.815,4.5,mb,84,135,4.568,0.51,us,us7000i4vk,2022-09-22T04:59:35.040Z,"216 km SSW of Severo-Kuril’sk, Russia",earthquake,10.95,8.146,0.065,69,reviewed,us,us
2022-09-03T02:16:48.474Z,47.6247,154.1404,46.702,4.9,mb,78,137,5.943,0.76,us,us7000i4up,2022-09-30T20:52:06.040Z,"Kuril Islands",earthquake,7.27,7.213,0.044,160,reviewed,us,us
2022-09-02T23:56:45.219Z,44.1648,149.1081,24.327,5.4,mb,130,76,4.69,0.67,us,us7000i4u0,2022-09-10T18:16:34.368Z,"",earthquake,8.78,3.773,0.024,576,reviewed,us,us
2022-09-02T23:41:13.820Z,44.2745,148.9475,18.882,4.8,mww,112,93,4.572,0.63,us,us7000i4ts,2022-10-09T21:01:11.040Z,"135 km SE of Kuril’sk, Russia",earthquake,8.73,3.295,0.093,11,reviewed,us,us
2022-09-02T05:22:32.121Z,55.5628,162.1435,65.073,4.3,mb,60,132,3.266,0.53,us,us7000i4jy,2022-10-05T05:30:57.040Z,"",earthquake,10.46,6.025,0.077,48,reviewed,us,us
2022-08-31T15:06:42.506Z,46.4601,153.0902,10,4.4,mb,26,137,7.121,0.54,us,us6000ii64,2022-09-08T23:31:05.040Z,"Kuril Islands",earthquake,11.27,1.927,0.144,14,reviewed,us,us
2022-08-30T03:26:09.086Z,47.8344,153.5577,55.711,4.3,mb,20,130,5.904,0.6,us,us7000i60d,2022-09-09T00:23:26.040Z,"",earthquake,9.69,7.487,0.188,8,reviewed,us,us
2022-08-28T12:19:08.809Z,51.7942,160.1661,10,4.8,mb,72,119,1.542,0.52,us,us7000i33j,2022-09-11T08:55:28.040Z,"174 km SE of Vilyuchinsk, Russia",earthquake,8.03,1.88,0.061,82,reviewed,us,us
2022-08-28T12:10:42.456Z,51.6895,160.1218,10,4.2,mb,31,120,1.612,0.64,us,us7000i5f0,2022-09-09T07:19:11.040Z,"",earthquake,4.65,1.898,0.124,18,reviewed,us,us
2022-08-27T23:47:15.498Z,51.7063,160.1017,10,4.7,mb,118,122,1.591,0.59,us,us7000i2zl,2022-09-29T02:46:01.040Z,"178 km SE of Vilyuchinsk, Russia",earthquake,8.29,1.872,0.059,86,reviewed,us,us
2022-08-27T19:17:35.621Z,48.0753,153.9199,67.437,4.3,mb,55,134,5.583,0.57,us,us7000i2yk,2022-09-15T00:46:44.040Z,"",earthquake,11.55,7.498,0.085,39,reviewed,us,us
2022-08-27T13:06:02.610Z,49.6608,156.0466,62.977,4.7,mb,53,78,3.742,0.81,us,us7000i2x1,2022-09-22T15:53:51.040Z,"Kuril Islands",earthquake,3.97,6.271,0.032,297,reviewed,us,us
2022-08-27T09:20:23.740Z,51.8749,159.3562,35,4.6,mb,56,119,1.229,0.46,us,us7000i2w4,2022-09-17T07:35:04.040Z,"134 km SSE of Vilyuchinsk, Russia",earthquake,4.27,1.907,0.062,83,reviewed,us,us
2022-08-26T10:20:47.959Z,52.4354,159.343,96.355,4.1,mb,42,157,0.725,0.6,us,us7000i2k4,2022-11-01T15:14:18.040Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,4.02,6.87,0.1,27,reviewed,us,us
2022-08-25T08:36:05.800Z,55.5684,162.8587,57.378,4,mb,20,71,3.547,0.63,us,us7000i4m8,2022-11-01T15:14:43.040Z,"77 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,5.3,9.434,0.15,12,reviewed,us,us
2022-08-25T04:58:54.896Z,46.2355,152.4045,35,4.3,mb,21,172,7.25,0.66,us,us7000i4m6,2022-11-01T15:14:42.040Z,"Kuril Islands",earthquake,9.91,1.92,0.177,9,reviewed,us,us
2022-08-24T22:43:28.938Z,47.8353,153.7829,62.802,5,mb,215,91,5.84,0.56,us,us7000i26g,2022-11-01T15:14:05.040Z,"Kuril Islands",earthquake,7.86,5.023,0.042,181,reviewed,us,us
2022-08-24T13:09:38.175Z,46.6323,153.1305,10,4.6,mb,84,114,7.122,0.47,us,us7000i20a,2022-11-01T15:14:02.040Z,"Kuril Islands",earthquake,9.01,1.853,0.054,102,reviewed,us,us
2022-08-21T23:15:57.625Z,55.3175,162.1838,53.594,4.9,mb,148,84,3.098,0.65,us,us6000icll,2022-11-01T15:12:45.040Z,"103 km S of Ust’-Kamchatsk Staryy, Russia",earthquake,6.78,5.403,0.033,294,reviewed,us,us
2022-08-19T18:36:37.514Z,44.2931,149.4328,35,4.6,mb,111,115,4.921,0.55,us,us6000ic7d,2022-10-28T02:27:11.040Z,"161 km SE of Kuril’sk, Russia",earthquake,6.1,1.73,0.055,108,reviewed,us,us
2022-08-19T02:35:22.747Z,52.7003,158.0982,121.784,4.5,mb,61,113,0.465,0.89,us,us6000ic0h,2022-10-28T02:27:03.040Z,"31 km SSW of Paratunka, Russia",earthquake,10.62,4.656,0.041,171,reviewed,us,us
2022-08-18T02:41:22.646Z,44.3779,149.4508,10,4.1,mb,27,137,4.934,0.54,us,us7000i2m3,2022-10-28T02:28:05.040Z,"156 km SE of Kuril’sk, Russia",earthquake,11.02,1.909,0.214,6,reviewed,us,us
2022-08-17T13:25:59.009Z,44.2997,149.6683,10,4.9,mb,103,135,5.09,0.44,us,us6000ibky,2022-10-28T02:26:45.040Z,"175 km SE of Kuril’sk, Russia",earthquake,8.2,1.814,0.05,124,reviewed,us,us
2022-08-17T09:38:18.686Z,45.1967,150.0562,74.588,4.7,mb,41,137,5.373,0.38,us,us6000ibj9,2022-10-28T02:26:43.040Z,"171 km E of Kuril’sk, Russia",earthquake,11.17,4.387,0.112,24,reviewed,us,us
2022-08-17T07:37:44.578Z,44.3608,149.3189,10,4.3,mb,41,137,4.839,0.91,us,us7000i2kw,2022-10-28T02:27:59.040Z,"149 km SE of Kuril’sk, Russia",earthquake,7.67,1.78,0.119,20,reviewed,us,us
2022-08-16T15:04:51.239Z,44.4294,149.0524,48.68,4.4,mb,29,164,4.649,1.24,us,us7000i2bx,2022-10-28T02:27:53.040Z,"128 km SE of Kuril’sk, Russia",earthquake,9.89,8.682,0.134,16,reviewed,us,us
2022-08-16T14:37:34.818Z,44.3475,149.4158,10,4.8,mb,82,116,5.136,0.52,us,us6000ibb7,2022-10-28T02:26:28.040Z,"156 km SE of Kuril’sk, Russia",earthquake,9.28,1.794,0.046,144,reviewed,us,us
2022-08-16T12:51:04.154Z,44.2507,149.4922,10,4.6,mb,121,143,4.964,0.35,us,us6000ibas,2022-10-28T02:26:26.040Z,"167 km SE of Kuril’sk, Russia",earthquake,9.57,1.881,0.055,100,reviewed,us,us
2022-08-16T10:59:33.429Z,44.2936,149.5537,10,5,mb,153,133,5.008,0.47,us,us6000ib9v,2022-10-28T02:26:24.040Z,"168 km SE of Kuril’sk, Russia",earthquake,8.94,1.857,0.031,332,reviewed,us,us
2022-08-16T10:39:54.057Z,44.394,149.4882,10,5.1,mww,168,125,4.961,0.36,us,us6000ib9s,2022-10-28T02:26:23.040Z,"157 km SE of Kuril’sk, Russia",earthquake,9.82,1.851,0.083,14,reviewed,us,us
2022-08-16T08:16:14.120Z,44.5419,149.4658,38.355,4.5,mb,40,135,4.949,1.22,us,us6000ib93,2022-10-28T02:26:21.040Z,"146 km ESE of Kuril’sk, Russia",earthquake,9.8,7.855,0.118,21,reviewed,us,us
2022-08-15T19:21:15.369Z,44.3307,149.4841,10,4.7,mb,68,120,4.957,0.63,us,us6000ib52,2022-10-28T02:26:11.040Z,"161 km SE of Kuril’sk, Russia",earthquake,9.74,1.84,0.071,60,reviewed,us,us
2022-08-15T07:09:18.485Z,52.1067,159.1256,51.408,4.8,mb,152,95,0.963,0.46,us,us6000iay5,2022-10-28T02:26:04.040Z,"103 km SSE of Vilyuchinsk, Russia",earthquake,8.95,5.365,0.033,289,reviewed,us,us
2022-08-13T19:26:01.471Z,46.8766,144.5948,385.916,5.3,mww,326,88,1.26,0.58,us,us6000iakz,2022-10-28T02:25:44.040Z,"141 km E of Korsakov, Russia",earthquake,8.86,4.164,0.08,15,reviewed,us,us
2022-08-12T15:08:14.695Z,45.3199,150.4249,35,4.4,mb,28,135,5.573,0.81,us,us6000ia8x,2022-10-21T23:21:03.040Z,"",earthquake,12.88,1.928,0.13,17,reviewed,us,us
2022-08-12T15:05:39.926Z,48.4196,155.3288,35,4.3,mb,41,106,4.929,0.91,us,us6000ia8t,2022-10-21T23:21:02.040Z,"257 km SSW of Severo-Kuril’sk, Russia",earthquake,7.72,1.88,0.097,30,reviewed,us,us
2022-08-11T03:26:04.747Z,47.0269,153.0224,35,4.3,mb,29,137,6.79,0.53,us,us6000ic5a,2022-10-21T23:20:24.040Z,"Kuril Islands",earthquake,7.25,1.941,0.16,11,reviewed,us,us
2022-08-10T02:48:36.145Z,46.2244,152.5809,10,4.3,mb,23,181,7.366,0.44,us,us6000ic48,2022-10-21T23:19:58.040Z,"Kuril Islands",earthquake,8.85,1.896,0.177,9,reviewed,us,us
2022-08-07T13:40:42.835Z,43.7392,148.0852,61.92,5.9,mww,144,42,3.986,0.5,us,us6000i8vz,2022-10-21T23:18:48.040Z,"109 km E of Shikotan, Russia",earthquake,8.08,3.611,0.061,26,reviewed,us,us
2022-08-06T21:11:39.149Z,55.7287,162.0648,90.337,4.4,mb,90,85,3.367,0.5,us,us6000i8r6,2022-10-21T23:18:35.040Z,"61 km SSW of Ust’-Kamchatsk Staryy, Russia",earthquake,4.58,6.712,0.065,68,reviewed,us,us
2022-08-06T11:48:01.619Z,51.1594,160.9103,10,5,mb,115,126,2.33,0.44,us,us6000i8me,2022-10-21T23:18:27.040Z,"261 km SE of Vilyuchinsk, Russia",earthquake,7.77,1.864,0.024,554,reviewed,us,us
2022-08-05T12:35:59.888Z,51.2149,161.0887,10,4.4,mb,48,158,2.354,0.42,us,us6000ib3l,2022-10-12T14:51:53.040Z,"265 km SE of Vilyuchinsk, Russia",earthquake,10.17,1.939,0.088,37,reviewed,us,us
2022-08-05T00:26:02.815Z,53.6265,161.7033,10,4.1,mb,38,113,1.929,0.53,us,us6000ib2v,2022-10-12T14:51:48.040Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,8.28,1.607,0.145,13,reviewed,us,us
2022-08-04T05:36:17.192Z,46.3745,153.115,10,4.6,mb,116,135,7.15,0.55,us,us6000i7zb,2022-10-12T14:50:27.040Z,"Kuril Islands",earthquake,5.27,1.872,0.04,187,reviewed,us,us
2022-08-04T00:14:17.372Z,44.4797,147.932,69.07,4.2,mb,22,187,3.85,0.5,us,us6000i7wc,2022-10-12T14:50:20.040Z,"83 km S of Kuril’sk, Russia",earthquake,11.7,7.28,0.159,11,reviewed,us,us
2022-08-03T07:30:03.978Z,45.7446,147.2864,187.192,4,mb,36,86,3.361,0.58,us,us6000ia99,2022-10-12T14:51:32.040Z,"73 km NW of Kuril’sk, Russia",earthquake,10.18,6.792,0.134,15,reviewed,us,us
2022-08-01T18:01:13.871Z,50.5059,150.5104,478.542,4.3,mb,119,118,5.165,0.9,us,us6000i77p,2022-10-12T14:49:37.040Z,"northwest of the Kuril Islands",earthquake,8.28,5.491,0.028,356,reviewed,us,us
2022-07-31T19:15:33.841Z,44.1053,148.9939,10,4.3,mb,39,137,4.61,0.79,us,us6000i711,2022-10-12T14:49:21.040Z,"152 km SE of Kuril’sk, Russia",earthquake,10.8,1.903,0.105,26,reviewed,us,us
2022-07-31T18:57:59.454Z,51.2677,161.0481,10,4.3,mb,26,130,2.297,0.73,us,us6000i9q8,2022-10-12T14:51:12.040Z,"258 km SE of Vilyuchinsk, Russia",earthquake,9.11,1.904,0.147,13,reviewed,us,us
2022-07-30T22:13:52.895Z,51.2498,160.9202,10,4.3,mb,59,130,2.261,0.84,us,us6000i6ul,2022-10-12T14:48:57.040Z,"254 km SE of Vilyuchinsk, Russia",earthquake,8.16,1.88,0.09,35,reviewed,us,us
2022-07-30T06:05:26.930Z,44.0024,149.2905,10,4.8,mb,93,137,4.829,0.49,us,us6000i6qp,2022-10-12T14:48:45.040Z,"176 km SE of Kuril’sk, Russia",earthquake,9.08,1.885,0.065,72,reviewed,us,us
2022-07-30T01:48:07.006Z,44.0955,149.0492,30.322,4.2,mb,36,137,4.65,0.73,us,us6000i6pw,2022-10-12T14:48:42.040Z,"156 km SE of Kuril’sk, Russia",earthquake,12.17,5.991,0.132,17,reviewed,us,us
2022-07-30T00:06:22.567Z,51.1589,160.8833,10,4.9,mb,67,133,2.768,0.64,us,us6000i9f2,2022-10-12T14:51:06.040Z,"260 km SE of Vilyuchinsk, Russia",earthquake,10.93,1.868,0.086,42,reviewed,us,us
2022-07-30T00:05:25.933Z,51.1555,160.9504,10,4.9,mb,127,102,2.348,0.6,us,us6000i6pj,2022-10-12T14:48:38.040Z,"263 km SE of Vilyuchinsk, Russia",earthquake,7.74,1.826,0.027,419,reviewed,us,us
2022-07-29T23:05:42.964Z,51.1629,160.9755,7,5.6,mww,176,32,2.351,0.64,us,us6000i6pa,2022-10-01T22:09:31.040Z,"264 km SE of Vilyuchinsk, Russia",earthquake,6.58,1.45,0.052,35,reviewed,us,us
2022-07-29T16:39:16.240Z,44.1617,149.2088,10,5.1,mww,90,116,4.762,0.88,us,us6000i6k0,2022-10-01T22:09:30.040Z,"158 km SE of Kuril’sk, Russia",earthquake,11.03,1.858,0.098,10,reviewed,us,us
2022-07-29T15:05:12.723Z,46.1662,143.5649,337.382,4.6,mb,76,123,0.968,0.77,us,us6000i6ic,2022-10-01T22:09:30.040Z,"79 km SE of Korsakov, Russia",earthquake,9.25,6.142,0.028,377,reviewed,us,us
2022-07-28T21:09:29.993Z,44.2145,149.0369,32.108,4.1,mb,28,137,4.637,0.26,us,us6000i6b8,2022-10-01T22:09:27.040Z,"145 km SE of Kuril’sk, Russia",earthquake,9.49,6.165,0.174,9,reviewed,us,us
2022-07-28T00:26:53.997Z,49.5065,155.5395,65.681,4.3,mb,73,90,3.853,0.62,us,us6000i61z,2022-10-01T22:09:25.040Z,"",earthquake,7.89,6.317,0.073,53,reviewed,us,us
2022-07-27T12:27:54.363Z,53.5826,160.2987,54.67,4,mb,16,114,1.137,1.18,us,us6000i8f2,2022-10-01T22:09:36.040Z,"125 km ENE of Petropavlovsk-Kamchatsky, Russia",earthquake,9.86,9.387,0.211,6,reviewed,us,us
2022-07-27T12:16:42.534Z,53.439,160.5087,45.041,4.5,mb,67,142,1.192,0.75,us,us6000i5w0,2022-10-01T22:09:23.040Z,"132 km ENE of Petropavlovsk-Kamchatsky, Russia",earthquake,4.43,8.378,0.077,50,reviewed,us,us
2022-07-27T11:05:19.095Z,51.4452,157.0662,147.039,4.2,mb,45,125,1.71,0.45,us,us6000i5vt,2022-10-01T22:09:23.040Z,"39 km E of Ozernovskiy, Russia",earthquake,5.53,7.094,0.093,32,reviewed,us,us
2022-07-25T09:13:18.353Z,43.9597,148.8754,10,4.6,mb,74,135,4.533,0.57,us,us7000hta6,2022-10-01T22:09:50.040Z,"161 km SSE of Kuril’sk, Russia",earthquake,7.56,1.572,0.076,52,reviewed,us,us
2022-07-25T05:46:29.004Z,44.6496,148.4259,112.452,4.6,mb,162,97,4.215,0.32,us,us7000ht9a,2022-10-01T22:09:49.040Z,"Kuril Islands",earthquake,8.8,5.671,0.029,360,reviewed,us,us
2022-07-23T09:29:26.988Z,55.7767,164.3335,10,4.2,mb,45,105,4.317,0.36,us,us6000i7gj,2022-10-01T22:09:32.040Z,"126 km ESE of Ust’-Kamchatsk Staryy, Russia",earthquake,11.47,1.896,0.093,32,reviewed,us,us
2022-07-22T19:07:17.954Z,55.9198,164.2972,10,4.2,mb,54,92,4.39,1.06,us,us6000i76w,2022-09-27T16:57:07.040Z,"118 km ESE of Ust’-Kamchatsk Staryy, Russia",earthquake,6.53,1.89,0.092,33,reviewed,us,us
2022-07-21T12:19:43.341Z,56.0651,163.4033,10,4.3,mb,44,66,4.117,0.76,us,us7000hsdp,2022-09-27T16:57:11.040Z,"60 km ESE of Ust’-Kamchatsk Staryy, Russia",earthquake,11.29,1.895,0.09,35,reviewed,us,us
2022-07-21T06:51:57.325Z,55.8436,163.4325,10,4.7,mb,127,94,3.973,0.53,us,us7000hsbv,2022-09-27T16:57:11.040Z,"73 km SE of Ust’-Kamchatsk Staryy, Russia",earthquake,8.19,1.86,0.033,288,reviewed,us,us
2022-07-20T00:59:28.931Z,45.8058,149.1739,140.557,4.5,mb,91,101,4.586,0.68,us,us7000hrzt,2022-09-27T16:57:08.040Z,"119 km ENE of Kuril’sk, Russia",earthquake,9.45,4.317,0.038,209,reviewed,us,us
2022-07-15T23:01:55.547Z,43.9652,147.8344,35,4.5,mb,71,170,3.782,0.67,us,us6000i2wf,2022-09-24T21:25:31.040Z,"91 km ENE of Shikotan, Russia",earthquake,9.5,2,0.07,60,reviewed,us,us
2022-07-14T18:14:11.091Z,46.4251,154.8273,10,4.2,mb,24,138,6.943,0.97,us,us7000hspl,2022-09-24T21:25:38.040Z,"east of the Kuril Islands",earthquake,13.9,1.9,0.147,13,reviewed,us,us
2022-07-11T19:01:02.377Z,54.9024,160.4893,136.757,4,mb,25,104,2.174,0.57,us,us6000i3nx,2022-09-24T21:25:55.040Z,"95 km SE of Atlasovo, Russia",earthquake,6.44,9.601,0.149,12,reviewed,us,us
2022-07-10T14:04:32.540Z,45.4217,150.971,55.409,4.5,mb,128,94,5.904,0.81,us,us6000i1e0,2022-09-24T21:26:02.040Z,"243 km E of Kuril’sk, Russia",earthquake,8.64,5.782,0.051,114,reviewed,us,us
