,Closest_neigh,Index_o_CN
392,3.1,715
393,3.1,389
394,2.4,187
395,3.0,396
396,3.0,395
397,3.2,411
398,3.4,159
399,2.7,379
400,2.4,401
401,2.4,400
402,-1.9,403
403,-1.9,402
404,0.3,405
405,0.3,404
406,2.6,402
407,1.8,377
408,3.1,167
409,3.0,469
410,2.8,389
411,3.0,101
412,2.7,153
413,4.2,187
414,-2.4,415
415,-2.4,414
416,4.0,414
417,1.6,418
418,1.6,417
419,1.1,420
420,1.1,419
421,2.8,420
422,3.3,428
423,3.8,374
424,1.9,425
425,1.9,424
426,3.4,355
427,2.7,428
428,2.7,427
429,2.9,214
430,2.7,431
431,2.7,430
432,3.7,438
433,3.3,425
434,3.6,31
435,2.9,307
436,3.0,187
437,3.3,366
438,2.9,655
439,3.9,187
440,2.5,301
441,1.9,442
442,1.9,441
443,2.9,366
444,2.7,446
445,3.4,462
446,2.0,447
447,2.0,446
448,3.3,453
449,3.8,428
450,1.4,467
451,4.0,187
452,2.8,454
453,3.3,448
454,2.8,452
455,3.6,454
456,3.4,366
457,2.3,458
458,2.3,457
459,1.5,461
460,3.5,461
461,1.5,459
462,3.1,463
463,2.6,457
464,3.3,392
465,2.8,461
466,3.0,465
467,1.4,450
468,3.2,457
469,2.7,472
470,3.4,428
471,2.9,214
472,2.7,469
473,2.4,482
474,3.2,473
475,3.3,441
476,1.9,477
477,1.9,476
478,2.2,479
479,2.2,478
480,3.0,153
481,3.2,480
482,2.4,473
483,2.5,482
484,3.0,518
485,3.2,172
486,2.7,187
487,2.5,489
488,3.2,489
489,2.0,491
490,2.4,491
491,2.0,489
492,3.0,187
493,3.9,489
494,2.7,187
495,3.0,73
496,3.5,500
497,4.5,496
498,3.5,489
499,3.8,559
500,3.3,501
501,3.3,500
502,2.3,562
503,3.5,430
504,3.4,350
505,-1.4,506
506,-1.4,505
507,2.7,389
508,2.8,507
509,-2.1,511
510,-1.6,509
511,-2.1,509
512,1.3,513
513,1.3,512
514,1.6,515
515,1.6,513
516,2.8,513
517,0.9,518
518,0.9,517
519,2.2,520
520,1.5,513
521,1.5,523
522,1.8,520
523,1.5,521
524,2.5,489
525,3.0,524
526,2.5,513
527,2.8,526
528,1.9,539
529,2.3,531
530,2.5,529
531,2.3,529
532,-0.6,533
533,-0.6,532
534,2.9,513
535,3.3,572
536,3.4,535
537,3.2,153
538,3.0,529
539,1.9,528
540,2.6,523
541,2.2,514
542,2.3,565
543,2.9,529
544,3.1,529
545,3.6,576
546,2.7,556
547,2.9,546
548,3.3,214
549,3.1,529
550,3.5,529
551,2.7,557
552,1.6,554
553,2.9,551
554,1.6,552
555,2.4,554
