,Closest_neigh
2.8,0.05442176870748299
2.9,0.05291005291005291
3.2,0.049886621315192746
2.7,0.04686318972033258
2.6,0.04610733182161754
3.1,0.04610733182161754
2.4,0.045351473922902494
3.3,0.04383975812547241
2.2,0.03854875283446712
3.0,0.03779289493575208
2.5,0.036281179138321996
3.4,0.03552532123960695
2.3,0.034013605442176874
2.1,0.030990173847316706
3.5,0.027966742252456538
1.9,0.02343159486016629
2.0,0.02343159486016629
1.5,0.01889644746787604
1.4,0.017384731670445956
1.6,0.016628873771730914
1.8,0.015873015873015872
3.6,0.015117157974300832
1.7,0.015117157974300832
3.7,0.01436130007558579
3.8,0.013605442176870748
-0.0,0.012093726379440665
1.3,0.011337868480725623
1.1,0.009826152683295541
0.4,0.009070294784580499
-0.2,0.009070294784580499
4.0,0.008314436885865457
-0.9,0.006802721088435374
1.2,0.006802721088435374
-0.1,0.006046863189720333
-0.7,0.006046863189720333
-2.2,0.006046863189720333
-0.8,0.006046863189720333
0.3,0.005291005291005291
-0.3,0.005291005291005291
1.0,0.005291005291005291
0.6,0.0045351473922902496
-0.6,0.0045351473922902496
-0.4,0.0045351473922902496
-2.0,0.0045351473922902496
0.9,0.0045351473922902496
-0.5,0.0045351473922902496
3.9,0.0045351473922902496
-1.6,0.0045351473922902496
-1.0,0.003779289493575208
0.5,0.003779289493575208
-1.2,0.003779289493575208
0.8,0.003779289493575208
0.7,0.003779289493575208
-2.5,0.0030234315948601664
-1.4,0.0030234315948601664
0.1,0.0022675736961451248
4.1,0.0022675736961451248
0.2,0.0022675736961451248
-2.3,0.0015117157974300832
-2.4,0.0015117157974300832
-3.0,0.0015117157974300832
-1.5,0.0015117157974300832
4.6,0.0015117157974300832
-1.9,0.0015117157974300832
-2.6,0.0015117157974300832
-1.3,0.0015117157974300832
-1.8,0.0015117157974300832
-2.1,0.0015117157974300832
-1.7,0.0015117157974300832
4.5,0.0007558578987150416
4.2,0.0007558578987150416
